"";"TournamentName";"TournamentStart";"TournamentEnd";"TournamentCountry";"TournamentPostalCode";"TournamentCity";"TournamentStreet";"TournamentPlace";"maxParticipants";"nParticipants";"TournamentID";"TournamentLongitude";"TournamentLatitude"
"81";"1. Hanseatic Jugger Cup";2013-04-27 09:00:00;2013-04-28 16:00:00;"Deutschland";"";"LÃ¼beck";"DrÃ¤ger Park";"Stadtbad - Wakenitz";16;13;81;10,7027228;53,8834906
"82";"1. Cottbuser Jugger Turnier";2013-05-04 09:00:00;2013-05-05 17:00:00;"Deutschland";"03046";"Cottbus";"Walther-Pauer-StraÃe";"Brandenburgische Technische UniversitÃ¤t";12;10;82;14,3252558;51,7688991
"83";"11. Badische Meisterschaft";2013-05-04 10:00:00;2013-05-04 19:00:00;"Deutschland";"78050";"Villingen";"Kalkofenstr.";"Hubenloch";12;8;83;8,4486298;48,0572689
"84";"6. ThÃ¼ringer Meisterschaft";2013-05-10 10:00:00;2013-05-11 18:00:00;"Deutschland";"07745";"Jena";"Oberaue 1";"Jena";36;27;84;11,5836561;50,9180893
"85";"8. SaarlÃ¤ndische Meisterschaft";2013-05-17 18:00:00;2013-05-20 12:00:00;"Deutschland";"";"Homburg";"BrunnenstraÃe";"Stadtpark Homburg";16;11;85;7,3505486;49,327499
"86";"3. Oldenburger Kreismeisteschaft";2013-05-18 10:00:00;2013-05-19 16:00:00;"Deutschland";"26135";"Oldenburg";"Gerhard- Stalling- StraÃe 26";"Sportpark Osternburg";16;10;86;8,2451601;53,1085031
"87";"2. Hallesche Stadtbalgerei";2013-05-31 16:00:00;2013-06-02 19:00:00;"Deutschland";"06108";"Halle Saale";"Kreuzvorwerk Brandbergehalle";"Halle Saale";24;15;87;NA;NA
"88";"5. School's Out der OGS";2013-06-08 10:00:00;2013-06-08 17:00:00;"Deutschland";"24589";"Nortorf";"Marienburger StraÃe 47-49";"Nortorf";12;6;88;9,8450968;54,166312
"89";"8. Schleswig-Holstein Meisterschaft";2013-06-22 09:00:00;2013-06-23 16:00:00;"Deutschland";"23847";"Rethwisch";"Buchrader Weg 2";"Sportplatz des VfL Rethwisch";18;17;89;10,4401006536605;53,78423965
"90";"5. Hessische Meisterschaft";2013-07-06 09:00:00;2013-07-06 21:00:00;"Deutschland";"64289";"Darmstadt";"Kranichsteiner StraÃe 183";"Sportplatz Ziegelbusch der TG 1875 Darmstadt";20;18;90;8,6723973;49,8899555
"91";"2. WÃ¼rttembergische Meisterschaft";2013-07-13 09:00:00;2013-07-13 19:00:00;"Deutschland";"71409";"Schwaikheim";"SchillerstraÃe 2";"Altes Wiesental";0;12;91;9,3558994;48,8738103
"92";"2. Berlin Masters";2013-07-27 09:00:00;2013-07-28 15:00:00;"Deutschland";"10965";"Berlin";"Columbiadamm 111";"VereinsgelÃ¤nde des Turngemeinde in Berlin 1848 e.V.";20;20;92;13,4079108;52,4826748
"93";"1. Pommersches Jugendturnier";2013-08-03 10:00:00;2013-08-03 19:00:00;"Deutschland";"17493";"Greifswald";"Yachtweg";"Greifswald-Eldena";8;4;93;13,4516975;54,09319
"94";"1. Bergische Meisterschaft";2013-08-10 09:00:00;2013-08-11 16:00:00;"Deutschland";"42285";"Wuppertal";"Oberbergische Strasse 91";"Wuppertal";20;16;94;7,17908785;51,2523273
"95";"19. Hamburger Meisterschaft";2013-08-10 10:00:00;2013-08-11 16:30:00;"Deutschland";"22303";"Hamburg";"SaarlandstraÃe";"Stadtpark KrÃ¤henwiese / Rugby GelÃ¤nde FC St. Pauli";24;24;95;10,0316818;53,5957328
"96";"13. Bayerische Meisterschaft";2013-08-17 10:00:00;2013-08-17 22:00:00;"Deutschland";"92726";"Waidhaus";"An der Bahn 2";"SportgelÃ¤nde des TSV Waidhaus";16;10;96;12,4967105;49,6400456
"97";"1. Jugger Turnier an der Uni in Augsburg";2013-09-08 14:00:00;2013-09-08 20:00:00;"Deutschland";"86159";"Augsburg";"UniversitÃ¤tsstraÃe 3";"UniversitÃ¤t Augsburg";8;8;97;10,8955855;48,3308529
"98";"16. Deutsche Meisterschaft";2013-09-21 12:00:00;2013-09-22 16:00:00;"Deutschland";"10965";"Berlin";"Tempelhofer Feld";"Ex-Flughafen Tempelhof, Berlin";64;60;98;13,4027557;52,4729578
"99";"9. Moshen im Park";2013-11-09 10:00:00;2013-11-09 18:00:00;"Deutschland";"23847";"Rethwisch";"Buchrader Weg 2";"Sportplatz des VfL Rethwisch";0;4;99;10,4401006536605;53,78423965
"100";"GÃ¶ttinger Hallencup 2014";2014-02-01 09:30:00;2014-02-01 18:00:00;"Deutschland";"37073";"GÃ¶ttingen";"Theaterplatz 10";"Sporthalle des Max-Planck-Gymnasium, GÃ¶ttingen";8;8;100;9,9408013;51,5363581
"101";"1. Kieler Nordderby";2014-04-05 10:00:00;2014-04-06 16:00:00;"Deutschland";"24143";"Kiel";"RÃ¶ntgenstraÃe 5";"Sportplatz des TUS Gaarden";12;12;101;10,1518678970631;54,3083559
"102";"4. NRW Turnier";2014-04-05 10:00:00;2014-04-05 18:00:00;"Deutschland";"47249";"Duisburg";"Angertaler StraÃe / Cramer-Klett-Stra&a";"Erholungspark Biegerhof";16;14;102;NA;NA
"103";"8. Berliner Juggerpokal";2014-05-03 10:00:00;2014-05-04 17:00:00;"Deutschland";"10965";"Berlin";"Tempelhofer Feld";"Ex-Flughafen Tempelhof, Berlin";28;27;103;13,4027557;52,4729578
"104";"8. Berliner Juggerpokal -Jugendturnier-";2014-05-03 10:00:00;2014-05-04 17:00:00;"Deutschland";"10965";"Berlin";"Tempelhofer Feld";"Ex-Flughafen Tempelhof, Berlin";12;9;104;13,4027557;52,4729578
"105";"8. Berliner Juggerpokal -Kinderturnier-";2014-05-03 10:00:00;2014-05-04 17:00:00;"Deutschland";"10965";"Berlin";"Tempelhofer Feld";"Ex-Flughafen Tempelhof, Berlin";8;8;105;13,4027557;52,4729578
"106";"12. Badische Meisterschaft";2014-05-10 10:00:00;2014-05-10 18:00:00;"Deutschland";"78050";"Villingen";"Vor Haslen 4";"Jugendtreff Chilly";16;15;106;8,4577546;48,0776487
"107";"7. ThÃ¼ringer Meisterschaft";2014-05-17 10:00:00;2014-05-18 17:00:00;"Deutschland";"";"Jena";"Oberaue";"Jena";36;36;107;11,5875742571875;50,9204859
"108";"Holt euch die Banane!";2014-05-24 09:00:00;2014-05-24 17:00:00;"Deutschland";"92237";"Sulzbach-Rosenberg";"Neukirchner Weg 39";"Sportplatz des SV-Kauerhof";12;11;108;11,7051707;49,5068669
"109";"1. SÃ¼dwest Regionalturnier";2014-05-24 10:30:00;2014-05-24 17:00:00;"Deutschland";"66424";"Homburg";"Steinbachstr. 111";"Sportzentrum Homburg Erbach";10;10;109;7,333078;49,3463653
"110";"14. Bayerische Meisterschaft";2014-05-31 09:30:00;2014-05-31 22:00:00;"Deutschland";"92726";"Waidhaus";"An der Bahn 2";"TSV SportgelÃ¤nde";16;9;110;12,4967105;49,6400456
"111";"1. Deutsche Meisterschaft fÃ¼r Kinder- und Jugendmannschaften -Jugendturnier-";2014-06-06 18:00:00;2014-06-08 16:00:00;"Deutschland";"36199";"Rotenburg a. d. Fulda";"Breitinger Kirchweg 6";"Rotenburg a. d. Fulda";16;13;111;9,736715;50,9932181
